,id,title,original_language,release_date,vote_average,popularity,adult
92,537061,Steven Universe: The Movie,en,2019-09-02,8.3,22.86,False
93,15804,A Brighter Summer Day,zh,1991-07-27,8.3,11.313,False
94,670,Oldboy,ko,2003-11-21,8.3,33.631,False
95,618344,Justice League Dark: Apokolips War,en,2020-05-05,8.3,38.709,False
96,1010581,My Fault,es,2023-06-08,8.3,1034.594,False
97,299534,Avengers: Endgame,en,2019-04-24,8.3,113.345,False
98,265177,Mommy,fr,2014-09-19,8.3,13.328,False
99,1585,It's a Wonderful Life,en,1946-12-20,8.3,27.149,False
100,299536,Avengers: Infinity War,en,2018-04-25,8.3,249.507,False
101,8587,The Lion King,en,1994-06-24,8.3,99.799,False
102,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,2020-10-16,8.3,141.613,False
103,508965,Klaus,en,2019-11-08,8.3,29.38,False
104,504253,I Want to Eat Your Pancreas,ja,2018-09-01,8.3,30.503,False
105,42269,We All Loved Each Other So Much,it,1974-12-21,8.2,10.132,False
106,797,Persona,sv,1966-10-18,8.2,17.987,False
107,490132,Green Book,en,2018-11-16,8.2,61.122,False
108,575813,Better Days,zh,2019-10-25,8.2,21.358,False
109,24188,Il Sorpasso,it,1962-12-05,8.2,11.758,False
110,572154,Rascal Does Not Dream of a Dreaming Girl,ja,2019-06-15,8.2,24.527,False
111,290098,The Handmaiden,ko,2016-06-01,8.2,32.787,False
112,110420,Wolf Children,ja,2012-07-21,8.2,20.899,False
113,556574,Hamilton,en,2020-07-03,8.2,15.058,False
114,284,The Apartment,en,1960-06-21,8.2,20.349,False
115,37257,Witness for the Prosecution,en,1957-12-17,8.2,18.644,False
116,5156,Bicycle Thieves,it,1948-11-24,8.2,15.29,False
117,354912,Coco,en,2017-10-27,8.2,99.069,False
118,522924,The Art of Racing in the Rain,en,2019-08-08,8.2,32.306,False
119,694,The Shining,en,1980-05-23,8.2,43.32,False
120,31414,Satantango,hu,1994-02-08,8.2,11.866,False
121,18148,Tokyo Story,ja,1953-11-03,8.2,16.187,False
122,185,A Clockwork Orange,en,1971-12-19,8.2,39.049,False
123,16869,Inglourious Basterds,en,2009-08-19,8.2,64.88,False
124,610892,Violet Evergarden: Eternity and the Auto Memory Doll,ja,2019-09-06,8.2,23.834,False
125,490,The Seventh Seal,sv,1957-02-16,8.2,19.829,False
126,857,Saving Private Ryan,en,1998-07-24,8.2,62.297,False
127,518068,Along with the Gods: The Last 49 Days,ko,2018-08-01,8.2,25.068,False
128,98,Gladiator,en,2000-05-04,8.2,61.685,False
129,603,The Matrix,en,1999-03-30,8.2,65.224,False
130,11,Star Wars,en,1977-05-25,8.2,93.854,False
131,791373,Zack Snyder's Justice League,en,2021-03-18,8.2,126.471,False
132,1124,The Prestige,en,2006-10-19,8.2,68.864,False
133,555604,Guillermo del Toro's Pinocchio,en,2022-11-09,8.2,80.091,False
134,313106,Doctor Who: The Day of the Doctor,en,2013-11-23,8.2,9.23,False
135,10098,The Kid,en,1921-01-21,8.2,13.788,False
136,50014,The Help,en,2011-08-09,8.2,56.856,False
137,11324,Shutter Island,en,2010-02-14,8.2,60.396,False
138,629,The Usual Suspects,en,1995-07-19,8.2,30.897,False
139,476292,Maquia: When the Promised Flower Blooms,ja,2018-02-24,8.2,31.424,False
140,626332,Flamin' Hot,en,2023-03-11,8.2,283.437,False
141,592350,My Hero Academia: Heroes Rising,ja,2019-12-20,8.2,37.498,False
142,324786,Hacksaw Ridge,en,2016-10-07,8.2,125.101,False
143,133919,Scenes from a Marriage,sv,1974-09-15,8.2,6.832,False
144,823754,Bo Burnham: Inside,en,2021-07-22,8.2,12.937,False
145,2457,Children of Paradise,fr,1945-03-15,8.2,9.192,False
146,667276,Legend Quest: The Origin,es,2021-02-15,8.2,43.237,False
147,1398,Stalker,ru,1979-05-25,8.2,18.358,False
148,422,8½,it,1963-02-14,8.2,16.396,False
149,755812,"Miraculous World: New York, United HeroeZ",fr,2020-12-18,8.2,87.166,False
150,26451,Investigation of a Citizen Above Suspicion,it,1970-10-16,8.2,9.692,False
151,77,Memento,en,2000-10-11,8.2,29.62,False
152,531428,Portrait of a Lady on Fire,fr,2019-06-17,8.2,24.029,False
153,20532,Sansho the Bailiff,ja,1954-03-31,8.2,11.461,False
154,426,Vertigo,en,1958-05-28,8.2,34.017,False
